"id","nombre","created_at"
1,CBA,2026-01-08 14:55:24.532
2,CRV,2026-01-08 14:55:36.272
3,DOZ,2026-01-08 14:55:42.716
4,EZE,2026-01-08 14:55:46.473
5,SIS,2026-01-08 14:56:02.474
