"id","nombre","created_at","sector"
1,Técnico,2026-01-08 14:57:00.254,CNSE
2,Jefe CNS,2026-01-08 14:57:01.350,CNSE
3,Coordinador,2026-01-08 14:57:01.675,CNSE
4,Supervisor,2026-01-08 14:57:01.972,CNSE
5,Jefe,2026-01-08 15:21:57.136,CNSE
6,Ingeniero,2026-01-08 15:25:03.090,CNSE
7,Analista,2026-01-08 15:25:04.416,CNSE
8,JEFE CMR,2026-01-08 15:25:39.445,CNSE
9,Administrativo,2026-01-08 15:25:56.465,CNSE
