"id","vhf_id","tipo_equipo","marca","modelo","numero_serie","tecnologia","activo_fijo","estado","created_at"
209,22,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:07.690
210,22,Main,R&S,SU200,S/N,Analógico,,OK,2026-01-08 16:23:08.508
211,22,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:09.323
212,22,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:23:10.229
213,22,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:10.938
214,23,Main,R&S,XU251,S/N,Analógico,,OK,2026-01-08 16:23:12.111
215,23,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:12.907
216,23,Main,R&S,XU251,S/N,Analógico,,OK,2026-01-08 16:23:13.826
217,23,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:14.801
218,23,Main,Becker,TG-264,S/N,Analógico,,OK,2026-01-08 16:23:15.528
219,23,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:16.755
220,23,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:23:17.465
221,23,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:18.315
222,23,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:23:19.147
223,23,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:19.973
224,24,Main,R&S,EU200,S/N,Analógico,,OK,2026-01-08 16:23:21.072
225,24,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:22.017
226,24,Main,R&S,SU200,S/N,Analógico,,OK,2026-01-08 16:23:22.811
227,24,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:24.082
228,24,Main,R&S,EU200,S/N,Analógico,,OK,2026-01-08 16:23:24.898
229,24,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:25.705
230,24,Main,R&S,SU200,S/N,Analógico,,OK,2026-01-08 16:23:26.580
231,24,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:27.322
232,24,Main,ICOM ,ic,S/N,Analógico,,OK,2026-01-08 16:23:28.369
233,24,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:29.307
234,24,Main,R&S,EU200,S/N,Analógico,,OK,2026-01-08 16:23:30.157
235,24,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:30.926
236,24,Main,R&S,SU200,S/N,Analógico,,OK,2026-01-08 16:23:31.846
237,24,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:32.580
238,24,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:23:33.289
239,24,Standby,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:23:34.000
240,25,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:23:35.125
241,25,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:35.944
242,25,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:23:36.880
243,25,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:37.723
244,25,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:23:38.708
245,25,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:39.635
246,25,Main,R&S,SU4200,S/N,Analógico,,OK,2026-01-08 16:23:40.443
247,25,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:41.372
248,25,Main,R&S,XU251,S/N,Analógico,,OK,2026-01-08 16:23:42.194
249,25,Standby,R&S,XU251,S/N,Analógico,,OK,2026-01-08 16:23:43.007
250,25,Main,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:23:43.846
251,25,Standby,R&S,XU4200,S/N,IP,,OK,2026-01-08 16:23:44.763
252,26,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:23:45.787
253,26,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:46.596
254,26,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:23:47.492
255,26,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:48.154
256,26,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:23:49.052
257,26,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:49.886
258,26,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:23:50.700
259,26,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:51.713
260,26,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:23:52.639
261,26,Standby,Sin Equipo,Sin Equipo,S/N,,,OK,2026-01-08 16:23:53.556
262,26,Main,R&S,XU4200,S/N,Analógico,,OK,2026-01-08 16:23:54.386
