"id","room_id","user_id","ultima_vista","created_at"
4,3,142,2026-01-16 14:35:11.514,2026-01-16 14:34:26.003
13,8,240,2026-01-16 15:06:06.569,2026-01-16 15:06:06.569
14,1,142,2026-01-16 15:10:33.449,2026-01-16 15:10:33.449
